name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Sinandede Mah.,1,0,16,191,914,10244,Eğitim,1.62276E+12,Quarter,10244
Şükraniye Mh.,1,0,16,191,914,10245,Eğitim,1.62276E+12,Quarter,10245
Mehmet Akif Ersoy Mah.,1,0,16,191,914,10246,Eğitim,1.62276E+12,Quarter,10246
152 Evler Mah.,1,0,16,191,914,10247,Eğitim,1.62276E+12,Quarter,10247
Yeşilyayla Mh.,1,0,16,191,915,10248,Yeşilyayla,1.62276E+12,Quarter,10248
Musababa Mah.,1,0,16,191,915,10249,Yeşilyayla,1.62276E+12,Quarter,10249
Sarıyaprak Köyü,1,6,2,17,121,1024,Köyler,1.61192E+12,Quarter,1024
Sıracevizler Mh.,1,0,16,191,915,10250,Yeşilyayla,1.62276E+12,Quarter,10250
Davutkadı Mh.,1,0,16,191,915,10251,Yeşilyayla,1.62276E+12,Quarter,10251
Zümrütevler Mh.,1,0,16,191,915,10252,Yeşilyayla,1.62276E+12,Quarter,10252
Akçağlayan Mh.,1,0,16,191,915,10253,Yeşilyayla,1.62276E+12,Quarter,10253
Yediselviler Mah.,1,0,16,191,915,10254,Yeşilyayla,1.62276E+12,Quarter,10254
Maltepe Mah.,1,0,16,191,915,10255,Yeşilyayla,1.62276E+12,Quarter,10255
Yıldırım Mh.,1,0,16,191,916,10256,Yıldırım,1.62276E+12,Quarter,10256
Hacıseyfettin Mh.,1,0,16,191,916,10257,Yıldırım,1.62276E+12,Quarter,10257
Selimzade Mah.,1,0,16,191,916,10258,Yıldırım,1.62276E+12,Quarter,10258
Davutdede Mah.,1,0,16,191,916,10259,Yıldırım,1.62276E+12,Quarter,10259
Meydancık Mh.,1,0,16,191,916,10260,Yıldırım,1.62276E+12,Quarter,10260
Emirsultan Mah.,1,0,16,191,917,10261,Emirsultan,1.62276E+12,Quarter,10261
Hocataşkın Mh.,1,0,16,191,917,10262,Emirsultan,1.62276E+12,Quarter,10262
Karaağaç Mh.,1,0,16,191,917,10263,Emirsultan,1.62276E+12,Quarter,10263
Karamazak Mah.,1,0,16,191,917,10264,Emirsultan,1.62276E+12,Quarter,10264
Kurtoğlu Mh.,1,0,16,191,917,10265,"Emirsultan, Setbaşı",1.62276E+12,Quarter,10265
Mollaarap Mah.,1,0,16,191,917,10266,Emirsultan,1.62276E+12,Quarter,10266
Namazgah Mah.,1,0,16,191,917,10267,Emirsultan,1.62276E+12,Quarter,10267
Piremir Mah.,1,0,16,191,917,10268,Emirsultan,1.62276E+12,Quarter,10268
Teferrüç Mh.,1,0,16,191,917,10269,Emirsultan,1.62276E+12,Quarter,10269
