"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"493";31;385;"31 - Kirikhan";"385 - CUMHURIYET MH.";20902;NA
"494";31;386;"31 - Kumlu";"386 - HAMAM MH.";21010;NA
"495";31;386;"31 - Kumlu";"386 - GOKCEOGLU MH.";20968;NA
"496";31;386;"31 - Kumlu";"386 - CUMHURIYET MH.";20966;NA
"497";31;386;"31 - Kumlu";"386 - FEVZI CAKMAK MH.";20967;NA
"498";31;386;"31 - Kumlu";"386 - AKKUYU MH.";20999;NA
"499";31;386;"31 - Kumlu";"386 - MUHARREM MH.";20998;NA
"500";31;1069;"31 - Payas";"1069 - YILDIRIM BEYAZIT MH.";20749;NA
"501";31;387;"31 - Reyhanli";"387 - CUMHURIYET MH.";20981;NA
"502";31;387;"31 - Reyhanli";"387 - DAVUTPASA MH.";21021;NA
"503";31;387;"31 - Reyhanli";"387 - BUKULMEZ MH.";21020;NA
"504";31;387;"31 - Reyhanli";"387 - KURTULUS MH.";20986;NA
"505";31;387;"31 - Reyhanli";"387 - BAGLAR MH.";20991;NA
"506";31;387;"31 - Reyhanli";"387 - FIDANLIK MH.";20990;NA
"507";31;387;"31 - Reyhanli";"387 - GULTEPE MH.";20626;NA
"508";31;387;"31 - Reyhanli";"387 - BAHCELIEVLER MH.";20644;NA
"509";31;387;"31 - Reyhanli";"387 - YENISEHIR MH.";20993;NA
"510";31;387;"31 - Reyhanli";"387 - PINARBASI MH.";20627;NA
"511";31;387;"31 - Reyhanli";"387 - YENI MH.";20985;NA
"512";31;387;"31 - Reyhanli";"387 - CILVEGOZU MH.";21026;NA
"513";31;387;"31 - Reyhanli";"387 - MUSTAFA KEMAL MH.";20989;NA
"514";31;387;"31 - Reyhanli";"387 - BAYIR MH.";20988;NA
"515";31;387;"31 - Reyhanli";"387 - ESENTEPE MH.";20982;NA
"516";31;387;"31 - Reyhanli";"387 - UZUNKAVAK MH.";21042;NA
"517";31;387;"31 - Reyhanli";"387 - DEGIRMENKASI MH.";20984;NA
"518";31;387;"31 - Reyhanli";"387 - YESILOVA MH.";20987;NA
"519";31;387;"31 - Reyhanli";"387 - ADABUCAK MH.";20994;NA
"520";31;387;"31 - Reyhanli";"387 - TAYFURSOKMEN MH.";21040;NA
